date,nav
2024-03-13,185029.3556288547
2024-03-14,184028.76750885468
2024-03-15,183509.8175088547
2024-03-18,185225.8413888547
2024-03-19,185909.1613888547
2024-03-20,187034.64138885468
2024-03-21,186893.7716493652
2024-03-22,186900.6416493652
2024-03-25,188468.1516493652
2024-03-26,187748.4016493652
2024-03-27,187166.4516493652
2024-03-28,187348.48294936522
2024-04-01,188004.6812993652
2024-04-02,187569.79129936523
2024-04-03,188262.0012993652
2024-04-04,186998.2112993652
2024-04-05,187361.31710936522
2024-04-08,187265.5571093652
2024-04-09,187216.91710936523
2024-04-10,187151.5571093652
2024-04-11,187958.6771093652
2024-04-12,187200.19710936522
2024-04-15,187025.3971093652
2024-04-16,187086.19710936522
2024-04-17,186069.56941166753
2024-04-18,185219.31941166753
2024-04-19,184648.9194116675
2024-04-22,185225.7694116675
2024-04-23,185819.39941166752
2024-04-24,185726.25424650236
2024-04-25,185962.89475701284
2024-04-26,187310.7512134693
2024-04-29,186870.8112134693
2024-04-30,184754.50121346928
2024-05-01,184264.783896152
2024-05-02,184460.72632858442
2024-05-03,185450.39449114696
2024-05-06,187294.06449114697
2024-05-07,188712.144491147
2024-05-08,187778.59449114697
2024-05-09,188878.19449114695
2024-05-10,188611.75449114697
2024-05-13,187775.44449114698
2024-05-14,187999.614491147
2024-05-15,190377.13449114698
2024-05-16,189161.35449114698
2024-05-17,189777.04449114695
2024-05-20,190073.32449114695
2024-05-21,190093.94449114698
2024-05-22,189407.59449114697
2024-05-23,187525.084491147
2024-05-24,188337.16449114698
2024-05-28,186531.29930714698
2024-05-29,185161.18930714697
2024-05-30,186361.89178714697
2024-05-31,187840.87178714699
2024-06-03,187478.531787147
2024-06-04,187092.281787147
2024-06-05,188250.83798334317
2024-06-06,187996.6430533432
2024-06-07,188764.2958133432
2024-06-10,190927.01479334317
2024-06-11,191217.39479334318
2024-06-12,192098.9147933432
2024-06-13,193012.19820334317
2024-06-14,192840.60045334318
2024-06-17,193246.1390133432
2024-06-18,193352.1990133432
2024-06-20,192661.1590133432
2024-06-21,192103.8390133432
2024-06-24,191578.6890133432
